               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.014854,            0.010492,            0.001292,             0.86795,             0.86402,             0.90445,              0.7456,             0.01744,             0.01409,           0.0075856,            0.002542,            0.002542,            0.002542
                 115,            0.014905,            0.010563,           0.0013179,             0.84947,             0.83885,             0.90238,             0.74063,            0.017486,            0.014364,           0.0087554,            0.002476,            0.002476,            0.002476
                 116,            0.015043,            0.010747,           0.0012988,             0.86828,             0.82812,             0.89431,              0.7324,            0.017673,            0.013953,           0.0089334,             0.00241,             0.00241,             0.00241
                 117,            0.015315,            0.011034,           0.0012362,              0.8715,             0.82408,             0.89318,             0.73174,            0.017581,            0.014165,           0.0090187,            0.002344,            0.002344,            0.002344
                 118,            0.014913,            0.010582,           0.0011686,             0.85243,             0.88317,              0.8984,             0.73345,            0.017966,            0.014591,           0.0067877,            0.002278,            0.002278,            0.002278
                 119,            0.014979,            0.010777,           0.0012137,             0.85613,             0.87749,             0.90591,             0.74528,            0.017892,            0.014688,           0.0077082,            0.002212,            0.002212,            0.002212
                 120,            0.014506,            0.010682,           0.0012684,             0.87502,             0.83571,             0.90108,             0.74096,              0.0177,            0.014624,           0.0094348,            0.002146,            0.002146,            0.002146
                 121,            0.014599,            0.010183,           0.0013321,             0.86216,             0.84954,             0.90309,             0.74355,            0.017475,            0.014347,           0.0091431,             0.00208,             0.00208,             0.00208
                 122,            0.014153,             0.01019,          0.00099807,             0.86306,             0.86479,             0.90267,             0.75132,            0.017614,            0.014518,           0.0084076,            0.002014,            0.002014,            0.002014
                 123,             0.01447,            0.010378,           0.0012047,              0.8425,             0.89053,             0.90584,             0.74675,            0.017596,            0.014264,           0.0079742,            0.001948,            0.001948,            0.001948
                 124,            0.014334,            0.010338,           0.0010768,             0.83785,             0.87235,             0.90264,             0.74766,            0.017537,              0.0145,           0.0088404,            0.001882,            0.001882,            0.001882
                 125,            0.014476,            0.010278,           0.0012826,             0.88802,             0.82812,             0.90533,             0.74521,            0.017716,            0.014109,           0.0088732,            0.001816,            0.001816,            0.001816
                 126,            0.014341,            0.010421,           0.0012983,              0.8601,             0.85639,             0.89814,             0.74802,            0.017555,            0.014237,           0.0089124,             0.00175,             0.00175,             0.00175
                 127,            0.014434,            0.010151,           0.0012622,              0.8715,              0.8538,             0.90808,             0.74618,            0.017838,            0.014628,           0.0079025,            0.001684,            0.001684,            0.001684
                 128,            0.014447,           0.0099865,           0.0011784,             0.87998,             0.83389,             0.90037,              0.7445,            0.017669,            0.014857,           0.0091484,            0.001618,            0.001618,            0.001618
                 129,            0.014251,            0.010286,           0.0011927,              0.8588,             0.84948,             0.89927,             0.74006,            0.017846,            0.014554,           0.0092367,            0.001552,            0.001552,            0.001552
                 130,            0.014172,             0.01038,           0.0011534,             0.87116,             0.82171,             0.89682,             0.74407,            0.017682,            0.014806,           0.0094444,            0.001486,            0.001486,            0.001486
                 131,            0.013934,            0.009764,          0.00095936,             0.85082,             0.86026,             0.90216,             0.74218,            0.017551,             0.01474,           0.0098646,             0.00142,             0.00142,             0.00142
